CBRO-2021 (Brazil),Aves Argentinas
Thamnophilus melanothorax,
Thamnophilus amazonicus,
Thamnophilus insignis,
Thamnophilus divisorius,
Cymbilaimus lineatus,
Cymbilaimus sanctaemariae,
Taraba major,
Hypoedaleus guttatus,
Batara cinerea,
Mackenziaena leachii,
Mackenziaena severa,
Frederickena viridis,
Frederickena unduliger,
Radinopsyche sellowi,
Biatas nigropectus,
Myrmoderus ferrugineus,
Myrmoderus ruficauda,
Myrmoderus loricatus,
Myrmoderus squamosus,
Hypocnemoides maculicauda,
Hypocnemoides melanopogon,
Hylophylax naevius,
Hylophylax punctulatus,
Sclateria naevia,
Myrmelastes saturatus,
Myrmelastes schistaceus,
Myrmelastes hyperythrus,
Myrmelastes rufifacies,
Myrmelastes leucostigma,
Myrmelastes humaythae,
Myrmelastes caurensis,
Myrmeciza longipes,
Myrmoborus melanurus,
Myrmoborus lophotes,
Myrmoborus myotherinus,
Myrmoborus leucophrys,
Myrmoborus berlepschi,
Myrmoborus stictopterus,
Myrmoborus lugubris,
Pyriglena maura,
Pyriglena similis,
Pyriglena leuconota,
Pyriglena pernambucensis,
Pyriglena atra,
Pyriglena leucoptera,
Rhopornis ardesiacus,
Percnostola rufifrons,
Percnostola subcristata,
Percnostola minor,
Akletos melanoceps,
Akletos goeldii,
Hafferia fortis,
Sciaphylax hemimelaena,
Sciaphylax pallens,
Cercomacra manu,
Cercomacra brasiliana,
Cercomacra cinerascens,
Cercomacra melanaria,
Cercomacra ferdinandi,
Cercomacra carbonaria,
Cercomacroides nigrescens,
Cercomacroides fuscicauda,
Cercomacroides laeta,
Cercomacroides tyrannina,
Cercomacroides serva,
Drymophila ferruginea,
Drymophila rubricollis,
Drymophila genei,
Drymophila ochropyga,
Drymophila malura,
Drymophila squamata,
Drymophila devillei,
Hypocnemis hypoxantha,
Hypocnemis subflava,
Hypocnemis cantator,
Hypocnemis flavescens,
Hypocnemis peruviana,
Hypocnemis ochrogyna,
Hypocnemis rondoni,
Hypocnemis striata,
Pithys albifrons,
Willisornis poecilinotus,
Willisornis vidua,
Phlegopsis nigromaculata,
Phlegopsis borbae,
Phlegopsis erythroptera,
Gymnopithys leucaspis,
Gymnopithys rufigula,
Oneillornis salvini,
Rhegmatorhina gymnops,
Rhegmatorhina berlepschi,
